,id,name,colors,Category,Description,price,link
0,DN3707-160,Air Jordan 3 Retro,White/Black/Cement Grey/Fire RedStyle,Men's Shoes,"Clean and supreme, the AJ3 returns with all of its classic style and grace. Quality leather in the upper—with that luxurious elephant print texture—is combined with visible Air in the sole to make a comfortable, everyday icon. Fire-red details burn through, giving you one hot look.",19 295,https://www.nike.com/in/t/air-jordan-3-retro-shoes-lnD0DV/DN3707-160
1,555088-037,Air Jordan 1 Retro High OG,Stealth/WhiteStyle,Shoes,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-G8hcQx/555088-037
2,575441-711,Air Jordan 1 Retro High OG,Taxi/Sail/BlackStyle,Boys' Shoe,"This iteration of the AJ1 re-imagines Mike's first signature model with a fresh mix of colours. Premium materials, soft cushioning and a padded ankle collar offer total support and celebrate the shoe that started it all.",9 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoe-PLe8kL/575441-711
3,DV1574-010,Jordan Essential Festive,Black/RattanStyle,Men's Fleece Crew,"Who's ready for the holidays? You are, in this cosy sweatshirt. Made from plush French terry fleece with classic checked detailing, it serves nostalgic seasonal style and plenty of Jordan heritage.",3 695,https://www.nike.com/in/t/jordan-essential-holiday-fleece-crew-jzlg36/DV1574-010
4,CT0978-501,Air Jordan 1 Zoom CMFT,Dark Iris/Black/Sail/WhiteStyle,Shoes,"Making iconic style even more comfortable. The Air Jordan 1 Zoom Cmft remakes the 1st Air Jordan with lightweight, low-profile cushioning and elements that improve wearability. Leathers and textiles in the upper have a broken-in feel. A lined, padded collar cups the heel for a secure fit.",12 495,https://www.nike.com/in/t/air-jordan-1-zoom-cmft-shoes-mDxHSk/CT0978-501
5,555088-404,Air Jordan 1 Retro High OG,Dark Marina Blue/White/BlackStyle,Shoes,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",15 495,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-a7Zzxm/555088-404
6,554724-135,Air Jordan 1 Mid,White/StealthStyle,Shoes,"Inspired by the original AJ1, the Air Jordan 1 Mid offers fans a chance to follow in MJ's footsteps. Fresh colour trims the clean, classic materials, imbuing modernity into a classic design.",10 295,https://www.nike.com/in/t/air-jordan-1-mid-shoes-BpARGV/554724-135
7,DC0774-007,Air Jordan 1 Low,Pure Platinum/White/Citron TintStyle,Women's Shoe,"Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colours, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel.",8 295,https://www.nike.com/in/t/air-jordan-1-low-shoe-459b4T/DC0774-007
8,DM9036-104,Air Jordan 1 Retro High OG,White/Metallic Gold/Chile Red/Boarder BlueStyle,Women's Shoes,"Upgrade your Js with blue jeans and bling. Outfitted in washed denim and gold hoop dubraes, this high-top pair keeps it casual while making a statement with every step.",15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-1QP6Gw/DM9036-104
9,DV9565-006,Air Jordan 1 Mid SE,Black/White/Sail/Infrared 23Style,Men's Shoes,"Fresh look, familiar feel. Every time we update the AJ-1, you get the classic kicks you already love, decked out in new combinations of colours and textures. Premium materials and accents bring modern expression to an all-time favourite.",11 895,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-fcz83T/DV9565-006
10,DJ4891-061,Air Jordan 1 Retro High OG,Light Iron Ore/Sail/Varsity RedStyle,Women's Shoes,Relive the moment you made the team with these varsity-jacket-inspired kicks. Chenille fabric on the Swoosh and classic varsity colours celebrate your journey to greatness—and help you look good along the way.,15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-h2pxgz/DJ4891-061
11,DM9652-001,Air Jordan 1 Mid SE Craft,Black/Light Graphite/Sail/Cement GreyStyle,Men's Shoes,"Turn style on its head with this crafted take on the Air Jordan 1 Mid. Its ""inside out""-inspired construction, including unique layering and exposed foam accents, ups the ante on this timeless Jordan Brand silhouette. Details like the deco stitching on the Swoosh add coveted appeal, while the unexpected shading, rich mixture of materials and aged midsole aesthetic give this release an artisan finish.",11 895,https://www.nike.com/in/t/air-jordan-1-mid-se-craft-shoes-RmP7J6/DM9652-001
12,AQ2664-404,Jordan 1 Retro High OG,Dark Marina Blue/White/BlackStyle,Younger Kids' Shoes,"The Jordan 1 Retro High delivers the durability, flexibility and support of the original AJ1. Its high-top design is optimised for growing feet.",5 995,https://www.nike.com/in/t/jordan-1-retro-high-og-younger-shoes-h4bvLq/AQ2664-404
13,DQ8422-001,Air Jordan 1 Low SE,Black/White/Sail/White OnyxStyle,Men's Shoes,"Staple sneaker, modern expression. New colours and fresh textures give you an updated AJ1—without losing that forever-favourite look and feel. It's made from premium materials, padded with comfy Air and decked out with subtle accents that redefine a classic.",9 695,https://www.nike.com/in/t/air-jordan-1-low-se-shoes-vHKgmX/DQ8422-001
14,DN3738-400,Air Jordan 1 Mid SE,French Blue/Fire Red/Beach/Magic EmberStyle,Women's Shoes,"Steal the show with all-leather Js in a bold patchwork of colours. Classic Air cushioning and a soft, mid-top collar keep you happy on your feet. Gear up and let the compliments roll in.",11 895,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-Q9j3dR/DN3738-400
15,CT0979-603,Air Jordan 1 Zoom Air Comfort,Fire Red/Hot Curry/White/Fire RedStyle,Women's Shoes,"Step into comfort with the Air Jordan 1 Zoom Air Comfort. Refined to make one of history's most iconic sneakers more wearable, it combines full-grain leather in the upper with a cosy lining and responsive cushioning.",12 495,https://www.nike.com/in/t/air-jordan-1-zoom-air-comfort-shoes-DMnp24/CT0979-603
16,CT8532-105,Air Jordan 3 Retro,White/Dark Iris/Cement Grey/BlackStyle,Shoes,"The legendary shoe gets a new heritage-inspired look. A twist on the original ""Black Cement"" colourway, the Air Jordan 3 Retro brings in one of the brand's most iconic colours.",16 595,https://www.nike.com/in/t/air-jordan-3-retro-shoes-TJf2lm/CT8532-105
17,DN4904-001,Air Jordan 1 Mid SE,Black/Sail/Roma Green/Chile RedStyle,Men's Shoes,"Inspired by Mictlán, this is a story of family connections. This unique ""Día de Muertos"" version of the Air Jordan 1 stays true to style with a bright jaguar print and unique details, like a multi-coloured embroidered Swoosh logo with an arrow. The words ""Siempre"" and ""Familia"" stamped on the upper connect back to the family tradition.",₹ 9 77710 295,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-hHltxp/DN4904-001
18,DN3253-100,Air Jordan 1 Elevate High,Summit White/Coconut Milk/Dark AshStyle,Women's Shoes,"Classic Jordan style reaches new heights in this lifted AJ-1. The platform stance and high-top collar make a statement, while crisp leather and flashy finishes make these kicks the winning assist your outfit needs. For added flex, the puffy, stitched-on Wings ""logo"" delivers big (and just wait until you feel the ultra-comfortable Air cushioning underfoot). Go ahead, elevate your game.",14 195,https://www.nike.com/in/t/air-jordan-1-elevate-high-shoes-rKPNHR/DN3253-100
19,DQ6078-100,Air Jordan 1 Mid SE,Light Orewood Brown/Bright Crimson/White/NewsprintStyle,Women's Shoe,"Give your look an edge, in the Air Jordan 1 Mid SE.Made from premium leather throughout, it features an updated colour scheme, making a fresh play on the all-time favourite.",11 895,https://www.nike.com/in/t/air-jordan-1-mid-se-shoe-9LWSDx/DQ6078-100
20,CK9246-067,Air Jordan 3 Retro,Black/Metallic Gold/Cement Grey/Fire RedStyle,Women's Shoes,"Set the gold standard with the Air Jordan 3. An all-time favourite, this fresh colourway adds to the legacy. Of course, a hangtag certifies your place on the team—and the elephant-print detailing delivers a classic finish.",16 595,https://www.nike.com/in/t/air-jordan-3-retro-shoes-QjsdH9/CK9246-067
21,DR9495-001,Air Jordan 1 Mid,Black/New Emerald/University Red/Dark ConcordStyle,Older Kids' Shoes,"Throw some colour into your black-and-white shoe game with this picture-perfect AJ1. Plush foam and soft Air give you the cloud-like feel you know and love, while vibrant images of MJ on the outer panels pay tribute to an icon.",7 995,https://www.nike.com/in/t/air-jordan-1-mid-older-shoes-xvvB6q/DR9495-001
22,DN3705-003,Air Jordan 1 Low SE,Black/White/Sail/Electric GreenStyle,Men's Shoes,"Your next pair of everyday kicks puts a fresh twist on the Js that started it all. The ombre effect on these low tops will satisfy your taste for originality, while staying true to the classic design you love.",9 695,https://www.nike.com/in/t/air-jordan-1-low-se-shoes-4KTqc0/DN3705-003
23,DV2229-300,Air Jordan 1 Mid,Washed Teal/White/Mint FoamStyle,Women's Shoes,"It's easy being green. This summery AJ1 is decked out in refreshing shades of teal and mint, served in a classic mid-top silhouette. Premium leather and lightweight Air cushioning complete the package with street-ready comfort that lasts all day.",10 795,https://www.nike.com/in/t/air-jordan-1-mid-shoes-zxLK1G/DV2229-300
